Senegal,2.40,4.03,5.80,7.05,8.38,10.37,10.70,0.03
Serbia and Montenegro,66.39,50.81,61.50,59.85,57.07,59.10,58.97,0.16
Seychelles,0.29,0.41,0.68,0.93,0.89,0.95,0.98,0.00
Sierra Leone,0.74,0.73,0.49,0.73,1.21,1.40,1.45,0.00
Singapore,31.61,45.27,42.94,51.00,51.34,55.52,55.91,0.15
Slovakia,60.55,42.35,42.17,39.63,34.60,37.89,38.09,0.10
Slovenia,16.62,15.67,18.30,17.89,14.36,15.46,15.55,0.04
Solomon Islands,0.13,0.17,0.19,0.18,0.13,0.13,0.13,0.00
Somalia,0.69,0.54,0.76,0.83,0.86,0.92,0.94,0.00
South Africa,312.46,345.23,433.19,464.87,477.51,472.47,477.25,1.26
South Korea,270.45,483.57,516.32,597.73,638.78,675.44,695.36,1.84
Spain and Andorra,233.80,315.48,372.65,291.62,274.81,282.18,276.05,0.73
Sri Lanka,4.19,11.34,14.42,13.68,21.41,24.84,23.81,0.06
Sudan and South Sudan,5.54,6.02,10.78,16.67,18.92,20.61,21.09,0.06
Suriname,0.91,1.49,1.69,1.72,2.12,2.17,2.25,0.01
Sweden,58.12,58.39,55.89,53.35,44.18,45.14,44.60,0.12
Switzerland and Liechtenstein,44.96,44.90,47.16,46.47,40.22,42.17,40.94,0.11
Syria,32.88,45.67,58.48,62.13,29.35,30.02,28.94,0.08
Taiwan,124.23,229.63,269.63,271.52,264.84,283.98,284.55,0.75
Tajikistan,12.27,2.80,3.26,3.13,5.38,5.64,5.93,0.02
Tanzania,2.10,3.09,5.87,7.14,12.90,13.04,13.43,0.04
Thailand,92.98,171.51,225.59,245.32,271.65,278.27,281.04,0.74
The Gambia,0.15,0.21,0.23,0.47,0.51,0.58,0.60,0.00
Timor-Leste,0.13,0.34,0.27,0.25,0.29,0.29,0.29,0.00
Togo,0.77,1.27,1.33,2.54,2.43,2.86,2.94,0.01
Tonga,0.06,0.11,0.12,0.18,0.12,0.12,0.12,0.00
Trinidad and Tobago,12.66,18.54,31.03,38.72,36.36,35.98,35.95,0.09
Tunisia,14.77,21.20,23.39,27.93,30.15,31.84,32.93,0.09
Turkey,149.96,227.41,246.00,309.08,365.16,414.57,417.05,1.10
Turkmenistan,45.63,39.35,52.99,61.60,74.58,77.52,84.14,0.22
Turks and Caicos Islands,0.01,0.01,0.01,0.11,0.17,0.17,0.17,0.00
Uganda,0.64,1.17,1.68,3.77,4.69,5.38,5.49,0.01
Ukraine,783.23,358.13,354.46,308.86,213.27,195.48,196.84,0.52
United Arab Emirates,56.92,88.38,122.40,171.86,202.35,208.09,214.11,0.57
United Kingdom,584.22,549.20,558.48,500.56,413.02,379.38,371.97,0.98
United States,5063.86,5915.63,5946.61,5555.44,5225.39,5128.44,5275.48,13.92
Uruguay,3.89,5.45,5.50,6.38,6.74,6.70,6.93,0.02
Uzbekistan,123.38,121.17,116.38,107.45,104.91,104.08,101.90,0.27
Vanuatu,0.13,0.06,0.06,0.12,0.08,0.08,0.08,0.00
Venezuela,102.46,132.59,152.48,189.01,158.54,133.13,120.21,0.32
Vietnam,20.19,55.53,99.24,154.68,202.77,242.46,271.47,0.72
Western Sahara,0.14,0.21,0.23,0.27,0.25,0.27,0.28,0.00
Yemen,6.89,15.50,21.78,27.18,14.29,11.54,11.77,0.03
Zambia,2.95,1.95,2.46,2.24,4.44,5.05,5.17,0.01
Zimbabwe,17.18,14.50,11.39,10.00,12.78,12.81,13.04,0.03
